,Players,Ratings,Season
0,Luis Suarez,89,2013
1,Robin van Persie,89,2013
2,Eden Hazard,88,2013
3,Sergio Aguero,88,2013
4,Juan Mata,87,2013
5,Mesut Ozil,87,2013
6,David Silva,87,2013
7,Wayne Rooney,87,2013
8,Vincent Kompany,86,2013
9,Yaya Toure,86,2013
10,Nemanja Vidic,85,2013
11,Petr Cech,85,2013
12,Christian Eriksen,84,2013
13,Oscar,84,2013
14,Hugo Lloris,84,2013
15,Samir Nasri,84,2013
16,Santi Cazorla,84,2013
17,De Gea,83,2013
18,Stevan Jovetic,83,2013
19,Edin Dzeko,83,2013
20,Willian,83,2013
21,Daniel Sturridge,83,2013
22,Jesus Navas,83,2013
23,Negredo,83,2013
24,Ashley Cole,83,2013
25,Steven Gerrard,83,2013
26,John Terry,83,2013
27,Jack Wilshere,82,2013
28,Aaron Ramsey,82,2013
29,David Luiz,82,2013
30,Javier Hernandez,82,2013
31,Simon Mignolet,82,2013
32,Jan Vertonghen,82,2013
33,Asmir Begovic,82,2013
34,Laurent Koscielny,82,2013
35,Leighton Baines,82,2013
36,Joe Hart,82,2013
37,Soldado,82,2013
38,Pablo Zabaleta,82,2013
39,Nani,82,2013
40,Fernandinho,82,2013
41,Per Mertesacker,82,2013
42,Fernando Torres,82,2013
43,Samuel Eto'o,82,2013
44,Nemanja Matic,81,2013
45,Sandro,81,2013
46,Wilfried Bony,81,2013
47,Shinji Kagawa,81,2013
48,Coutinho,81,2013
49,Paulinho,81,2013
50,Ramires,81,2013
51,Christian Benteke,81,2013
52,Mamadou Sakho,81,2013
53,Branislav Ivanovic,81,2013
54,Kevin Mirallas,81,2013
55,Antonio Valencia,81,2013
56,Martin Skrtel,81,2013
57,Theo Walcott,81,2013
58,Daniel Agger,81,2013
59,Tim Howard,81,2013
60,Tomas Rosicky,81,2013
61,Andre Schurrle,80,2013
62,Romelu Lukaku,80,2013
63,Wojciech Szczesny,80,2013
64,Loic Remy,80,2013
65,Demba Ba,80,2013
66,Marouane Fellaini,80,2013
67,Lucas Leiva,80,2013
68,Erik Lamela,80,2013
69,Michu,80,2013
70,Gary Cahill,80,2013
71,Bacary Sagna,80,2013
72,Moussa Dembele,80,2013
73,Mathieu Debuchy,80,2013
74,Gael Clichy,80,2013
75,James Milner,80,2013
76,Michel Vorm,80,2013
77,Phil Jagielka,80,2013
78,Emmanuel Adebayor,80,2013
79,Patrice Evra,80,2013
80,Steven Pienaar,80,2013
81,Fabricio Coloccini,80,2013
82,Mikel Arteta,80,2013
83,Michael Carrick,80,2013
84,Gareth Barry,80,2013
85,Frank Lampard,80,2013
86,Raheem Sterling,79,2013
87,Dejan Lovren,79,2013
88,Phil Jones,79,2013
89,Azpilicueta,79,2013
90,Adam Lallana,79,2013
91,Olivier Giroud,79,2013
92,Jose Enrique,79,2013
93,Tim Krul,79,2013
94,Jonny Evans,79,2013
95,John Obi Mikel,79,2013
96,Ashley Williams,79,2013
97,John Ruddy,79,2013
98,Younes Kaboul,79,2013
99,Javi Garcia,79,2013
100,Hatem Ben Arfa,79,2013
101,Thomas Vermaelen,79,2013
102,Mathieu Flamini,79,2013
103,Ashley Young,79,2013
104,Aaron Lennon,79,2013
105,Joleon Lescott,79,2013
106,Martin Demichelis,79,2013
107,Michael Dawson,79,2013
108,Kolo Toure,79,2013
109,Rio Ferdinand,79,2013
110,Gaston Ramirez,78,2013
111,Lacina Traore,78,2013
112,Alex Oxlade-Chamberlain,78,2013
113,Emanuele Giaccherini,78,2013
114,Lewis Holtby,78,2013
115,Steven N'Zonzi,78,2013
116,Danny Welbeck,78,2013
117,Kieran Gibbs,78,2013
118,Aleksandar Kolarov,78,2013
119,Claudio Yacob,78,2013
120,Jordan Henderson,78,2013
121,Konstantinos Mitroglou,78,2013
122,Etienne Capoue,78,2013
123,Morgan Schneiderlin,78,2013
124,Cheick Tiote,78,2013
125,Micah Richards,78,2013
126,Ron Vlaar,78,2013
127,Emiliano Viviano,78,2013
128,Brad Guzan,78,2013
129,Ben Foster,78,2013
130,Aiden McGeady,78,2013
131,Glen Johnson,78,2013
132,Brad Friedel,78,2013
133,Mohamed Salah,77,2013
134,Matija Nastasic,77,2013
135,Nacer Chadli,77,2013
136,Ross Barkley,77,2013
137,Jose Canas,77,2013
138,Rafael,77,2013
139,Kyle Walker,77,2013
140,James McCarthy,77,2013
141,Joe Allen,77,2013
142,Andy Carroll,77,2013
143,Pablo Hernandez,77,2013
144,Youssouf Mulumbu,77,2013
145,Chico,77,2013
146,Darron Gibson,77,2013
147,Adam Johnson,77,2013
148,Stephane Sessegnon,77,2013
149,Lukas Podolski,77,2013
150,Robert Huth,77,2013
151,Gomes,77,2013
152,Anders Lindegaard,77,2013
153,Arouna Kone,77,2013
154,Tom Huddlestone,77,2013
155,Stewart Downing,77,2013
156,Brede Hangeland,77,2013
157,Sylvain Distin,77,2013
158,Maarten Stekelenburg,77,2013
159,Mark Schwarzer,77,2013
160,Vlad Chiricheş,76,2013
161,Deulofeu,76,2013
162,Marco van Ginkel,76,2013
163,Adrian,76,2013
164,Gary Medel,76,2013
165,Steven Caulker,76,2013
166,Iago Aspas,76,2013
167,Chris Smalling,76,2013
168,Davide Santon,76,2013
169,Victor Wanyama,76,2013
170,Leroy Fer,76,2013
171,Marko Arnautovic,76,2013
172,Jack Rodwell,76,2013
173,Mapou Yanga-M'Biwa,76,2013
174,Seamus Coleman,76,2013
175,Papiss Demba Cisse,76,2013
176,Nacho Monreal,76,2013
177,Jonathan De Guzman,76,2013
178,Ryan Shawcross,76,2013
179,Steven Fletcher,76,2013
180,Matthew Jarvis,76,2013
