,Season,Player,Age,Sellingteam,Buyingteam,Marketvalue,Fee
0,2013,Juan Mata,25,Chelsea,ManUtd,34.2,40.26
1,2013,Nemanja Matic,25,Benfica,Chelsea,24.3,22.5
2,2013,Yohan Cabaye,28,Newcastle,Paris SG,18,22.5
3,2013,Kevin De Bruyne,22,Chelsea,VfL Wolfsburg,13.5,19.8
4,2013,Hernanes,28,Lazio,Inter,19.8,16.2
5,2013,Jose Salomon Rondon,24,Rubin Kazan,Zenit S-Pb,9.9,16.2
6,2013,Mohamed Salah,21,FC Basel,Chelsea,7.65,14.85
7,2013,Konstantinos Mitroglou,25,Olympiacos,Fulham,6.48,13.68
8,2013,Kurt Zouma,19,Saint-Etienne,Chelsea,6.75,13.14
9,2013,Leandro Damiao,24,Internacional,Santos FC,19.8,11.7
10,2013,Lacina Traore,23,Anzhi,Monaco,14.4,9
11,2013,Jorginho,22,Hellas Verona,SSC Napoli,9,8.55
12,2013,Shane Long,27,West Brom,Hullcity,4.95,7.65
13,2013,Nilmar,29,Al Rayyan,El-Jaish,4.5,7.2
14,2013,Nikica Jelavic,28,Everton,Hullcity,5.85,7.02
15,2013,Alessandro Diamanti,30,Bologna,GZ Evergrande,7.2,6.75
16,2013,Walter Montillo,29,Santos FC,SD Luneng,3.6,6.75
17,2013,Michael Bradley,26,AS Roma,Toronto FC,5.85,6.66
18,2013,Jermain Defoe,31,Tottenham,Toronto FC,5.4,6.57
19,2013,Felipe Caicedo,25,Loko Moscow,Al-Jazira,7.2,6.3
20,2013,Alex Telles,21,Gremio,Galatasaray,1.35,5.54
21,2013,Jucilei,25,Anzhi,Al-Jazira,9.9,5.4
22,2013,Rene Junior,24,Tombense,GZ Evergrande,0.675,5.4
23,2013,Antonio Sanabria,17,FC Barcelona B,Sassuolo,0.54,5.13
24,2013,Vladimir Weiss,24,Olympiacos,Al Duhail,3.78,4.77
25,2013,Marko Devic,30,Metalist,Rubin Kazan,7.2,4.5
26,2013,Ja-cheol Koo,24,VfL Wolfsburg,1.FSV Mainz 05,3.6,4.5
27,2013,Pavel Mamaev,25,CSKA Moscow,Krasnodar,3.33,4.5
28,2013,Paul-Georges Ntep,21,AJ Auxerre,Stade Rennais,2.7,4.5
29,2013,Faouzi Ghoulam,23,Saint-Etienne,SSC Napoli,2.7,4.5
30,2013,Aloisio,25,Sao Paulo,SD Luneng,0.9,4.5
31,2013,Ragnar Sigurdsson,27,FC Copenhagen,Krasnodar,1.58,3.83
